brand,model,year,price,dummy
Lada,Niva Travel,2021,676 900 ₽,1
Renault,Logan Stepway,2021,964 000 ₽,1
Kia,Sportage,2021,2 197 900 ₽,1
Kia,Rio NEW,2021,1 015 900 ₽,1
Renault,Kaptur,2021,1 559 000 ₽,1
Kia,Ceed,2021,1 484 900 ₽,1
Chery,Tiggo 4,2021,1 029 900 ₽,1
Jeep,Wrangler Unlimited,2021,4 775 000 ₽,1
Mitsubishi,Outlander,2021,1 836 500 ₽,1
Lada,Vesta,2021,889 900 ₽,1
Уаз,Патриот New,2021,898 900 ₽,1
Suzuki,SX4,2021,1 359 990 ₽,1
Renault,Duster NEW,2021,1 359 000 ₽,1
Уаз,Патриот New,2021,898 900 ₽,1
Suzuki,Vitara,2021,1 239 990 ₽,1
Renault,Duster NEW,2021,1 395 000 ₽,1
Hyundai,Palisade,2021,3 494 000 ₽,1
Kia,Ceed SW,2021,1 809 900 ₽,1
Peugeot,2008,2021,1 929 000 ₽,1
Renault,Sandero Stepway,2021,833 000 ₽,1
Kia,Sportage,2021,1 692 900 ₽,1
Renault,Duster NEW,2021,1 399 000 ₽,1
Renault,Duster NEW,2021,1 269 000 ₽,1
Citroen,Jumpy Profi,2020,2 624 900 ₽,1
Renault,Arkana,2021,1 768 000 ₽,1
Kia,Cerato,2021,1 515 900 ₽,1
Citroen,Jumpy,2021,1 646 900 ₽,1
Renault,Duster NEW,2021,1 192 000 ₽,1
Renault,Logan Stepway,2021,803 000 ₽,1
Hyundai,Santa Fe,2021,2 682 000 ₽,1
Уаз,Пикап New,2021,1 377 000 ₽,1
Lada,Vesta,2021,842 900 ₽,1
Renault,Sandero Stepway,2021,843 000 ₽,1
Renault,Kaptur,2021,1 216 000 ₽,1
Kia,Soul,2021,1 279 900 ₽,1
Renault,Sandero Stepway,2021,833 000 ₽,1
Hyundai,Santa Fe,2021,2 802 000 ₽,1
Lada,Granta,2021,482 500 ₽,1
Lada,Granta универсал,2021,557 500 ₽,1
Lada,Granta универсал,2021,518 500 ₽,1
Jeep,Grand Cherokee,2021,4 265 000 ₽,1
Kia,Seltos,2021,1 581 900 ₽,1
Hyundai,Solaris NEW,2021,971 000 ₽,1
Kia,Seltos,2021,1 541 900 ₽,1
Renault,Kaptur,2021,1 360 000 ₽,1
Kia,Sorento NEW,2021,3 022 900 ₽,1
Kia,Soul,2021,1 504 900 ₽,1
Peugeot,Traveller,2021,3 209 900 ₽,1
Lada,Niva Travel,2021,858 900 ₽,1
Kia,Soul,2021,1 504 900 ₽,1
Renault,Sandero Stepway,2021,916 000 ₽,1
Citroen,C5 Aircross,2021,3 011 000 ₽,1
Lada,XRAY Cross,2021,745 900 ₽,1
Hyundai,Santa Fe,2021,3 002 000 ₽,1
Уаз,Патриот New,2021,1 319 000 ₽,1
Renault,Sandero Stepway,2021,916 000 ₽,1
Lada,Vesta,2021,690 900 ₽,1
Renault,Kaptur,2021,1 550 000 ₽,1
Renault,Logan,2021,667 000 ₽,1
Уаз,Патриот New,2021,1 119 900 ₽,1
Suzuki,Vitara,2021,1 239 990 ₽,1
Kia,XCeed,2021,2 194 900 ₽,1
Kia,Soul,2021,1 424 900 ₽,1
Renault,Kaptur,2021,1 559 000 ₽,1
Уаз,Патриот New,2021,898 900 ₽,1
