area_sqm,price,region
54.0,5700000,"Республика Саха (Якутия), Якутск"
83.3,6700000,"Орловская область, Орёл"
33.6,1900000,"Ставропольский край, Пятигорск"
76.0,5900000,"Республика Карелия, Костомукшский г.о., Костомукша"
307.0,598877670,Москва
43.5,750000,"Свердловская область, Карпинск"
34.0,5590000,"Московская область, Ленинский г.о., рабочий пос. Лопатино"
86.6,9500000,"Красноярский край, Красноярск"
119.0,4300000,"Краснодарский край, Горячий Ключ"
56.7,2600000,"Еврейская автономная область, Биробиджан"
52.0,700000,"Ставропольский край, Ессентуки"
40.6,700000,"Брянская область, Трубчевский р-н, Белоберезковское городское поселение, рабочий пос. Белая Берёзка"
90.0,11999999,"Хабаровский край, Хабаровск"
23.0,3999999,"Краснодарский край, г.о. Сочи, с. Краевско-Армянское"
51.1,2240000,"Республика Татарстан, Елабужский р-н, муниципальное образование город Елабуга, Елабуга"
87.0,3500000,"Калужская область, Калуга"
65.5,16068000,Москва
29.0,350000,"Самарская область, Клявлинский р-н, пос. ЛПДС Елизаветинка"
37.0,6073490,"Московская область, Люберцы"
36.0,3900000,"Ростовская область, Ростов-на-Дону"
25.0,2500000,"Краснодарский край, Краснодар"
80.0,6300000,"Ставропольский край, Ставрополь"
30.0,1250000,"Самарская область, Тольятти"
58.8,2800000,"Ставропольский край, Ессентуки"
43.0,4071773,"Архангельская область, Архангельск"
18.0,4900000,"Краснодарский край, Сочи"
19.0,999000,"Республика Татарстан, Казань"
32.1,3500000,"Тюменская область, Ханты-Мансийск"
45.5,1450000,"Владимирская область, Ковров"
130.0,13500000,"Ростовская область, Ростов-на-Дону"
45.3,5000000,"Московская область, Балашиха"
60.4,2100000,"Владимирская область, Петушинский р-н, муниципальное образование Посёлок Городищи, пос. городского типа Городищи"
38.0,7700000,Москва
78.8,4290000,"Воронежская область, Воронеж"
60.0,3600000,"Ставропольский край, Пятигорск"
30.9,700000,"Владимирская область, Петушинский р-н, СНТ Киржач"
51.0,11000000,"Москва, Новомосковский административный округ, поселение Московский, Московский"
60.7,6556000,"Краснодарский край, Новороссийск"
75.0,5400000,"Краснодарский край, Краснодар"
28.0,1300000,"Владимирская область, Владимир"
26.5,6800000,"Краснодарский край, Сочи"
57.0,5900000,"Республика Крым, Симферополь"
57.0,5500000,"Республика Дагестан, Махачкала"
34.7,4162800,
63.1,9550000,
32.3,4457400,
45.5,5838000,"Краснодарский край, Новороссийск"
23.0,2050000,"Тюменская область, Пыть-Ях"
18.0,899000,"Кемеровская область, Кемеровский г.о., Кемерово"
30.6,3856860,
35.9,4312800,
33.0,5078920,
70.1,7157000,"Краснодарский край, Новороссийск"
43.4,5636000,"Краснодарский край, Новороссийск"
48.1,3600000,"Свердловская область, Екатеринбург"
62.6,7550000,"Ленинградская область, Всеволожский р-н, Муринское городское поселение, Мурино"
41.4,4100000,"Тюменская область, Ханты-Мансийск"
60.0,6100000,"Краснодарский край, Краснодар"
39.0,4950000,"Краснодарский край, Новороссийск"
41.0,3650000,"Ростовская область, Ростов-на-Дону"
39.0,5012000,"Краснодарский край, Новороссийск"
39.2,5095000,"Краснодарский край, Новороссийск"
44.1,2300000,"Пензенская область, Пенза"
89.3,7634000,"Краснодарский край, Новороссийск"
70.0,6300000,"Московская область, г.о. Подольск, д. Бородино"
36.4,350000,"Нижегородская область, Павловский муниципальный округ, Горбатов"
105.0,18500000,"Краснодарский край, Геленджик"
43.4,5706000,"Краснодарский край, Новороссийск"
93.8,19000000,Санкт-Петербург
65.8,7501000,"Краснодарский край, Новороссийск"
43.4,5688000,"Краснодарский край, Новороссийск"
65.6,7169000,"Краснодарский край, Новороссийск"
60.6,6878000,"Краснодарский край, Новороссийск"
59.8,7250000,"Краснодарский край, Новороссийск"
60.6,6854000,"Краснодарский край, Новороссийск"
59.8,6687000,"Краснодарский край, Новороссийск"
88.4,8077000,"Краснодарский край, Новороссийск"
88.4,8139000,"Краснодарский край, Новороссийск"
39.0,4993000,"Краснодарский край, Новороссийск"
39.0,4993000,"Краснодарский край, Новороссийск"
39.0,4993000,"Краснодарский край, Новороссийск"
39.5,5038000,"Краснодарский край, Новороссийск"
39.0,5286000,"Краснодарский край, Новороссийск"
