area_sqm,price,region
35.0,2800000,"Архангельская область, Архангельск"
26.3,2600000,"Ростовская область, Ростов-на-Дону"
67.4,20909000,Москва
71.2,9951700,Санкт-Петербург
35.4,2300000,"Саратовская область, Энгельс"
41.3,3138800,"Ростовская область, Ростов-на-Дону"
33.0,2900000,"Адыгея, Яблоновский"
88.0,1930000,"Дагестан, Махачкала"
69.3,3790000,"Пензенская область, Пенза"
58.0,1160000,"Республика Дагестан, Махачкала"
24.0,5000000,"Московская область, Люберцы"
62.1,4500000,"Тюменская область, Тюмень"
55.5,7161671,Санкт-Петербург
25.7,8800000,"Краснодарский край, Сочи"
42.0,4180000,"Калининградская область, Гурьевск"
112.0,5400000,"Дагестан, Махачкала"
32.5,11500000,Москва
43.5,3045000,"Калининградская область, Калининград"
27.0,3800000,Санкт-Петербург
41.3,16436000,Москва
72.8,3639000,"Владимирская область, Владимир"
74.3,20955420,
42.9,8825161,
37.7,5536458,
41.0,5400000,Санкт-Петербург
19.5,3250000,"Ленинградская область, Мурино"
20.4,2999999,"Краснодарский край, Краснодар"
37.7,4697385,
40.3,5355910,
32.9,5497640,
59.9,7200000,"Ленинградская область, Кудрово"
52.4,5185200,"Московская область, Звенигород"
44.1,3750000,"Калининградская область, Калининград"
103.0,34000000,Москва
55.0,12670000,"Краснодарский край, Сочи"
45.7,1600000,"Ярославская область, Ростов"
77.8,8500000,"Краснодарский край, Краснодар"
20.4,2500000,"Краснодарский край, Краснодар"
43.0,3144570,"Ростовская область, Ростов-на-Дону"
68.7,4528100,"Московская область, Большевик"
87.0,15900000,Москва
60.0,7300000,"Краснодарский край, Новороссийск"
60.0,2750000,"Татарстан, Васильево"
39.8,17300000,Москва
34.7,4460235,Санкт-Петербург
36.1,4900000,"Краснодарский край, Новороссийск"
34.7,4425525,Санкт-Петербург
61.7,4400000,"Тюменская область, Тюмень"
53.4,10135000,Москва
57.6,2591000,"Челябинская область, Челябинск"
52.7,4400000,"Архангельская область, Архангельск"
71.5,3100000,"Дагестан, Дербент"
81.7,5690000,"Ставропольский край, Пятигорск"
32.0,6500000,"Московская область, Люберцы"
44.2,4800000,"Архангельская область, Северодвинск"
35.0,3900000,"Ленинградская область, Мурино"
64.2,4480000,"Тульская область, Тула"
72.0,6000000,"Архангельская область, Архангельск"
22.2,2050000,"Красноярский край, Красноярск"
21.8,3200000,"Ленинградская область, Кудрово"
73.5,27000000,Москва
33.5,4304750,Санкт-Петербург
53.4,16000000,Санкт-Петербург
56.0,2000000,"Челябинская область, Копейск"
52.0,4200000,"Ленинградская область, Мурино"
50.0,4150000,"Краснодарский край, Краснодар"
80.8,8080000,"Самарская область, Самара"
76.4,5900000,"Самарская область, Самара"
63.7,4500000,"Ростовская область, Ростов-на-Дону"
37.7,3100000,"Архангельская область, Архангельск"
37.7,3100000,"Архангельская область, Архангельск"
27.0,2800000,"Московская область, г.о. Подольск, д. Бородино"
61.2,20500000,Москва
50.0,4150000,"Краснодарский край, Краснодар"
59.0,3500000,"Астраханская область, Астрахань"
48.3,7958000,Санкт-Петербург
41.5,5581750,Санкт-Петербург
32.6,4283006,
32.0,4164312,
38.4,4858040,
33.3,5426400,Санкт-Петербург
64.2,3700000,"Самарская область, Самара"
52.8,6600000,Санкт-Петербург
35.7,4600140,
104.7,17730881,
71.0,14164500,
45.2,2860000,"Владимирская область, Владимир"
45.1,3080000,"Калининградская область, Калининград"
58.0,12450000,Санкт-Петербург
46.2,5900000,"Московская область, Королев"
72.9,14077420,Санкт-Петербург
20.9,3999999,Санкт-Петербург
76.4,5400000,"Самарская область, Самара"
34.7,3451578,"Ленинградская область, Мурино"
67.0,18098000,Москва
41.5,18810000,Москва
38.0,4300000,"Крым, Симферополь"
34.6,3510000,"Московская область, Звенигород"
71.1,9972300,Санкт-Петербург
115.2,11200000,"Самарская область, Самара"
30.4,3952000,Санкт-Петербург
47.0,2699000,"Северная Осетия, Владикавказ"
68.0,12900000,"Краснодарский край, Сочи"
52.0,5500000,"Краснодарский край, Краснодар"
58.2,16750000,Москва
45.4,2950000,"Самарская область, Самара"
91.0,1820000,"Республика Дагестан, Махачкала"
58.2,5820000,"Калининградская область, Светлогорск"
39.5,5374720,"Ленинградская область, Мурино"
89.3,31209000,Москва
45.0,2480000,"Ульяновская область, Димитровград"
45.4,2950000,"Самарская область, Самара"
59.1,7850000,Санкт-Петербург
22.6,1740000,"Татарстан, Набережные Челны"
74.2,6000000,"Архангельская область, Архангельск"
57.0,9139625,Санкт-Петербург
43.2,3024000,"Калининградская область, Калининград"
29.0,2125000,"Пензенская область, Засечное"
50.0,750000,"Кабардино-Балкария, Баксан"
27.0,4530000,Санкт-Петербург
46.8,5500000,"Краснодарский край, Краснодар"
36.0,4969380,"Ленинградская область, Кудрово"
42.0,3700000,"Архангельская область, Архангельск"
63.0,4400000,"Рязанская область, Рязань"
95.3,4000000,"Дагестан, Махачкала"
36.6,6250000,Санкт-Петербург
95.3,4000000,"Дагестан, Махачкала"
63.0,4400000,"Рязанская область, Рязань"
64.2,5200000,"Калининградская область, Калининград"
47.5,2150000,"Северная Осетия, Владикавказ"
62.1,3800000,"Саратовская область, Саратов"
36.9,5201490,"Ленинградская область, Кудрово"
65.9,22712000,Москва
37.2,4395682,
63.5,7335000,
71.0,14164500,
29.2,3890000,"Московская область, Ржавки"
70.0,10000000,"Краснодарский край, Сочи"
71.4,7650000,"Краснодарский край, Краснодар"
36.9,6383700,
24.3,3104000,
34.0,4153308,
61.7,13200000,Санкт-Петербург
35.0,1900000,"Кировская область, Киров"
63.5,7335000,"Ленинградская область, Аннино"
24.0,3099999,"Ростовская область, Ростов-на-Дону"
31.6,4100000,"Ленинградская область, Мурино"
39.5,5173190,"Ленинградская область, Мурино"
67.0,17435000,Москва
49.0,4400000,"Краснодарский край, Краснодар"
55.5,8952000,"Московская область, Новоивановское"
80.3,5012000,"Красноярский край, Красноярск"
48.6,4270000,"Тюменская область, Тюмень"
32.6,4494660,"Ленинградская область, Мурино"
99.7,4200000,"Дагестан, Махачкала"
35.0,7500000,"Краснодарский край, Сочи"
35.2,4379910,"Ленинградская область, Мурино"
25.6,3000000,"Адыгея, Яблоновский"
40.9,5929050,"Ленинградская область, Мурино"
48.1,4763800,"Московская область, Звенигород"
58.0,8650000,Москва
36.0,4854600,"Ленинградская область, Кудрово"
45.4,3000000,"Самарская область, Самара"
30.5,12300000,Москва
26.0,3870000,"Московская область, Развилка"
